(-53426659.5276667920, 150804.7844586372)



(-54896749.5275397080, 161142.3969879150)



(-53418943.2720074280, 148785.3740333319)



(-53697027.2096787390, 152326.6477149725)



(-54081908.1125705760, 156260.0199489594)



(-54755932.2278398870, 158217.0989446640)



(-52948866.6528341920, 141091.3471698761)



(-57251513.1352231280, 168931.2966613770)



(-58300116.4192354460, 170699.0124664307)



(-53336109.2617409150, 148001.0017493963)



(-54942668.8690058220, 161178.6914978027)



(-53674724.6736340970, 152010.3457130194)



(-53939892.1774591060, 155146.9626140595)



(-53055594.9308780060, 143659.6681874991)



(-58427453.4738376510, 170847.7323913574)



(-53137985.8728769940, 144778.7471631765)



(-53094318.5207858680, 144301.7078193426)



(-60317079.7698819790, 175626.6949768066)



(-53799136.4489249960, 155059.6670818329)



(-53399514.9205419870, 148530.1103004217)



(-53501624.1597882430, 151263.1296672821)



(-54230135.1858804750, 157711.2184123993)



(-60629782.8318319470, 176082.4676513672)



(-53218730.2960767670, 147351.0291881561)



(-53018829.7516339790, 143242.5580238104)



(-53000490.0607771430, 142968.1680091620)



(-52965258.3906958620, 141196.6026592255)



(-53044157.4128682690, 143445.2073529959)



(-52809348.4789890350, 132710.8268685341)



(-52990586.0519301520, 141399.2519884110)



(-52946918.6998390260, 140922.2126445770)



(-53062497.1037251060, 143719.5973676443)



(-52840416.6780816610, 136885.2909598351)



(-53160288.4089216370, 145095.0491651297)



(-54851092.9684882760, 160087.4083213806)



(-53262397.6481678930, 147828.0685319901)



(-67267523.6084806320, 191575.8155517578)



(-53358411.7977855580, 148317.3037513495)



(-53116621.0568305100, 144618.0098212957)



(-54866726.6705974120, 160820.7454910278)



(-53460521.0370318140, 151050.3231182098)



(-52830415.0439995450, 133804.4594020061)



(-55310641.7296791150, 163374.0685653687)



(-68446201.9693108350, 192953.8621826172)



(-55287262.8238551540, 162199.7406921387)



(-52932051.3974511620, 140523.3507013321)



(-60208504.2556812390, 174575.4053344727)



(-68124530.5851909820, 191925.1107177734)



(-57708779.7022563890, 170244.3777160645)



(-57842504.1014821750, 170553.6478843689)



(-58886357.1297510270, 174429.6919860840)



(-58504436.4554489330, 171624.1377716065)



(-60756070.0690769030, 177516.9486694336)



(-56452690.4447238970, 167873.3325042725)



(-55076896.7614301290, 161850.0505523682)



(-56079110.7621826530, 167421.0999908447)



(-62523313.0592966230, 182925.8072509766)



(-62767829.7444377910, 184288.5908203125)



(-65490979.7188853170, 188786.0289001465)



(-63165825.4620533880, 184932.5159912109)



(-60998569.0663309690, 180735.4255371094)



(-63793149.9939009550, 185206.2442626953)



(-64582746.1328042450, 188432.4918518066)



(-63993304.2786885280, 187345.8136291504)



(-57495785.6885287170, 169771.9059906006)
